                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.2504,                0.66063,                 1.0245,                0.77635,                0.66446,                0.71285,                0.38619,                 1.4177,                 0.7943,                 1.1323,                0.00582,                0.00582,                0.00582
                     78,                 1.2448,                0.65085,                 1.0197,                0.78007,                0.65739,                0.71217,                0.37993,                 1.4337,                0.79326,                 1.1353,               0.005765,               0.005765,               0.005765
                     79,                 1.2384,                0.64963,                  1.022,                0.75849,                0.67407,                 0.7093,                0.37955,                 1.4325,                0.80198,                 1.1391,                0.00571,                0.00571,                0.00571
                     80,                 1.2337,                0.64611,                 1.0162,                0.76118,                0.66576,                0.71316,                0.38565,                 1.4152,                 0.7769,                 1.1345,               0.005655,               0.005655,               0.005655
                     81,                   1.23,                0.64731,                 1.0205,                 0.7693,                0.65895,                0.71281,                0.38587,                 1.4228,                0.78701,                 1.1431,                 0.0056,                 0.0056,                 0.0056
                     82,                 1.2321,                0.64465,                 1.0193,                0.76437,                0.66313,                0.70831,                0.38146,                 1.4289,                0.78739,                 1.1442,               0.005545,               0.005545,               0.005545
                     83,                 1.2246,                0.63936,                 1.0117,                0.75691,                0.66877,                0.70702,                0.38247,                 1.4201,                0.79784,                 1.1408,                0.00549,                0.00549,                0.00549
                     84,                 1.2247,                0.63826,                 1.0176,                0.75652,                0.66844,                0.70708,                0.37977,                 1.4404,                0.80482,                 1.1472,               0.005435,               0.005435,               0.005435
                     85,                 1.2224,                0.64266,                 1.0169,                0.77259,                 0.6502,                0.70528,                0.38254,                 1.4265,                0.80768,                 1.1373,                0.00538,                0.00538,                0.00538
                     86,                 1.2238,                0.63417,                 1.0145,                 0.7751,                0.65816,                0.70926,                  0.383,                 1.4283,                0.79068,                 1.1417,               0.005325,               0.005325,               0.005325
                     87,                 1.2164,                0.63596,                  1.011,                0.77552,                0.65716,                0.70994,                0.38228,                 1.4304,                0.79108,                 1.1374,                0.00527,                0.00527,                0.00527
                     88,                 1.2223,                0.62957,                 1.0121,                0.76408,                0.66148,                0.70989,                0.38115,                 1.4331,                0.79278,                 1.1425,               0.005215,               0.005215,               0.005215
                     89,                 1.2125,                0.63243,                 1.0096,                0.76337,                0.66533,                 0.7113,                0.38347,                 1.4284,                0.78612,                 1.1508,                0.00516,                0.00516,                0.00516
                     90,                 1.2048,                0.62808,                 1.0083,                0.76219,                0.67053,                0.71316,                0.38273,                  1.437,                0.79233,                 1.1504,               0.005105,               0.005105,               0.005105
                     91,                 1.2135,                0.63331,                  1.009,                0.77173,                0.66249,                0.71453,                0.38389,                 1.4324,                0.79036,                 1.1411,                0.00505,                0.00505,                0.00505
                     92,                 1.2051,                0.62574,                 1.0067,                 0.7602,                0.67109,                0.71564,                0.38411,                 1.4218,                0.77792,                 1.1367,               0.004995,               0.004995,               0.004995
                     93,                 1.2078,                0.63022,                 1.0115,                0.77178,                0.66604,                0.71386,                0.38259,                 1.4234,                0.78256,                 1.1383,                0.00494,                0.00494,                0.00494
                     94,                 1.1999,                0.62527,                 1.0069,                0.76277,                0.67507,                0.71835,                0.38543,                 1.4252,                 0.7747,                 1.1387,               0.004885,               0.004885,               0.004885
