                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3091,                0.70717,                  1.052,                0.78588,                0.65105,                0.70734,                0.37112,                 1.4668,                0.79778,                 1.1481,               0.008053,               0.008053,               0.008053
                     61,                 1.3146,                0.70275,                 1.0488,                0.77767,                0.65064,                0.71145,                0.37486,                 1.4646,                0.80006,                 1.1457,                0.00802,                0.00802,                0.00802
                     62,                 1.3052,                0.70088,                 1.0504,                0.78003,                0.64887,                0.70771,                0.37489,                 1.4622,                0.80068,                 1.1455,               0.007987,               0.007987,               0.007987
                     63,                 1.3007,                0.69744,                 1.0453,                0.77485,                0.65782,                0.70806,                0.37514,                 1.4571,                0.80089,                 1.1502,               0.007954,               0.007954,               0.007954
                     64,                 1.3015,                0.69354,                  1.046,                0.77918,                0.65948,                0.71111,                0.37608,                 1.4689,                0.82179,                 1.1548,               0.007921,               0.007921,               0.007921
                     65,                 1.3017,                0.69332,                 1.0471,                0.77012,                0.66089,                0.70776,                0.37565,                 1.4609,                0.80355,                 1.1421,               0.007888,               0.007888,               0.007888
                     66,                 1.2939,                0.68968,                 1.0434,                0.77701,                 0.6597,                0.70911,                0.37764,                 1.4647,                0.80579,                 1.1454,               0.007855,               0.007855,               0.007855
                     67,                 1.2868,                0.68353,                 1.0386,                0.77697,                0.65186,                0.70791,                0.37437,                 1.4639,                0.79202,                 1.1461,               0.007822,               0.007822,               0.007822
                     68,                 1.2815,                0.68311,                  1.043,                0.76169,                0.66611,                0.70994,                0.37609,                 1.4643,                 0.8055,                  1.151,               0.007789,               0.007789,               0.007789
                     69,                 1.2942,                0.67804,                 1.0369,                0.76864,                0.65351,                0.70712,                0.37413,                 1.4668,                0.78852,                 1.1475,               0.007756,               0.007756,               0.007756
                     70,                 1.2821,                0.68548,                 1.0407,                0.77438,                0.65981,                0.71535,                0.37762,                 1.4653,                0.79166,                 1.1426,               0.007723,               0.007723,               0.007723
                     71,                 1.2823,                0.68679,                 1.0417,                0.79179,                 0.6492,                0.70951,                0.37577,                 1.4641,                0.79295,                 1.1492,                0.00769,                0.00769,                0.00769
                     72,                  1.277,                0.68276,                 1.0345,                0.78113,                0.65716,                0.71086,                0.37661,                 1.4554,                0.80212,                  1.149,               0.007657,               0.007657,               0.007657
                     73,                 1.2818,                0.67943,                 1.0369,                0.76558,                0.66545,                0.70966,                0.38116,                 1.4341,                0.78755,                 1.1327,               0.007624,               0.007624,               0.007624
                     74,                 1.2797,                0.67881,                 1.0356,                0.78691,                0.65318,                0.70764,                0.37871,                 1.4466,                0.78771,                 1.1401,               0.007591,               0.007591,               0.007591
                     75,                 1.2758,                0.67516,                 1.0338,                0.78053,                0.66035,                0.71032,                0.38404,                 1.4362,                0.78185,                 1.1325,               0.007558,               0.007558,               0.007558
                     76,                  1.267,                0.66944,                 1.0326,                0.76985,                0.66435,                0.71161,                0.38061,                 1.4475,                0.79529,                 1.1394,               0.007525,               0.007525,               0.007525
                     77,                 1.2694,                0.67128,                 1.0328,                0.76585,                0.66446,                0.70809,                0.38187,                 1.4371,                0.77681,                 1.1385,               0.007492,               0.007492,               0.007492
                     78,                 1.2776,                0.67339,                 1.0341,                 0.7586,                0.66777,                0.70825,                0.37798,                 1.4539,                0.78421,                 1.1425,               0.007459,               0.007459,               0.007459
                     79,                 1.2649,                0.66997,                 1.0302,                0.77286,                0.65849,                 0.7081,                0.37961,                 1.4423,                 0.7793,                 1.1396,               0.007426,               0.007426,               0.007426
                     80,                 1.2564,                0.66203,                 1.0286,                0.79164,                0.65418,                0.71362,                0.38375,                 1.4478,                0.77784,                 1.1445,               0.007393,               0.007393,               0.007393
                     81,                 1.2583,                0.66471,                 1.0305,                0.76975,                0.66729,                0.71545,                0.38236,                 1.4379,                0.77939,                 1.1341,                0.00736,                0.00736,                0.00736
                     82,                 1.2673,                0.66401,                 1.0267,                0.77805,                 0.6602,                 0.7096,                0.37856,                 1.4386,                0.78697,                 1.1374,               0.007327,               0.007327,               0.007327
                     83,                 1.2604,                0.66893,                 1.0316,                0.77255,                0.66976,                0.71286,                0.38068,                 1.4324,                0.77631,                  1.136,               0.007294,               0.007294,               0.007294
                     84,                 1.2606,                0.66049,                 1.0267,                0.77474,                0.67042,                0.71531,                0.38179,                 1.4365,                0.77669,                 1.1338,               0.007261,               0.007261,               0.007261
                     85,                 1.2593,                0.66404,                 1.0287,                0.78919,                 0.6565,                0.71442,                0.38256,                 1.4398,                0.79282,                 1.1381,               0.007228,               0.007228,               0.007228
                     86,                 1.2421,                0.65367,                  1.024,                0.78566,                0.65186,                0.71342,                0.38406,                  1.441,                0.78261,                 1.1468,               0.007195,               0.007195,               0.007195
                     87,                 1.2486,                0.65496,                 1.0262,                0.76481,                0.67109,                0.71564,                 0.3797,                 1.4544,                0.78584,                 1.1405,               0.007162,               0.007162,               0.007162
                     88,                 1.2465,                0.65463,                 1.0251,                0.78181,                0.66293,                0.71741,                0.38303,                 1.4353,                0.77801,                 1.1321,               0.007129,               0.007129,               0.007129
                     89,                 1.2431,                0.65166,                 1.0233,                0.76795,                0.66877,                0.71497,                0.38296,                 1.4483,                0.77975,                 1.1444,               0.007096,               0.007096,               0.007096
                     90,                 1.2379,                 0.6524,                 1.0202,                0.76973,                0.67009,                0.71195,                0.38247,                 1.4375,                0.77367,                 1.1421,               0.007063,               0.007063,               0.007063
                     91,                 1.2362,                0.64651,                 1.0191,                0.77794,                0.66673,                0.71447,                0.38516,                 1.4474,                0.77547,                 1.1498,                0.00703,                0.00703,                0.00703
                     92,                 1.2388,                0.64897,                  1.019,                0.77594,                0.66678,                0.71432,                0.38233,                 1.4462,                0.78977,                 1.1473,               0.006997,               0.006997,               0.006997
                     93,                 1.2341,                0.64904,                  1.024,                0.77107,                0.67228,                  0.719,                0.38678,                  1.436,                0.79603,                 1.1421,               0.006964,               0.006964,               0.006964
                     94,                 1.2286,                   0.64,                 1.0211,                0.77222,                0.67331,                0.71629,                0.38511,                 1.4337,                0.78527,                 1.1421,               0.006931,               0.006931,               0.006931
                     95,                 1.2331,                0.64484,                 1.0194,                0.77971,                 0.6691,                0.71715,                0.38442,                 1.4415,                0.78215,                 1.1419,               0.006898,               0.006898,               0.006898
                     96,                 1.2273,                 0.6443,                  1.015,                0.78369,                 0.6555,                0.71606,                0.38455,                  1.437,                0.78999,                 1.1463,               0.006865,               0.006865,               0.006865
                     97,                 1.2336,                0.64458,                  1.018,                0.77446,                0.66263,                0.71435,                 0.3868,                 1.4317,                  0.788,                 1.1418,               0.006832,               0.006832,               0.006832
                     98,                 1.2334,                0.64399,                 1.0163,                0.77487,                0.66645,                0.71681,                0.38562,                 1.4299,                0.77626,                 1.1366,               0.006799,               0.006799,               0.006799
                     99,                 1.2232,                0.63749,                  1.015,                0.77233,                0.67341,                0.71961,                0.38713,                 1.4284,                0.77145,                  1.133,               0.006766,               0.006766,               0.006766
                    100,                 1.2227,                0.64325,                  1.017,                0.75859,                0.67275,                  0.714,                0.38452,                 1.4215,                0.78078,                 1.1333,               0.006733,               0.006733,               0.006733
                    101,                 1.2195,                0.63826,                 1.0135,                0.76313,                0.67639,                0.71631,                0.38489,                 1.4243,                0.78093,                 1.1363,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.2164,                0.63517,                 1.0126,                0.76303,                0.66877,                0.71132,                0.38499,                 1.4243,                0.77681,                 1.1358,               0.006667,               0.006667,               0.006667
                    103,                 1.2227,                0.63772,                 1.0135,                0.77627,                0.66147,                0.71653,                0.38716,                  1.414,                0.77754,                 1.1324,               0.006634,               0.006634,               0.006634
                    104,                 1.2108,                 0.6314,                 1.0118,                0.77629,                0.66247,                0.71611,                0.38831,                 1.4203,                0.78539,                 1.1379,               0.006601,               0.006601,               0.006601
                    105,                 1.2139,                0.63748,                 1.0133,                0.77949,                 0.6681,                0.71707,                0.38713,                 1.4322,                0.78447,                 1.1431,               0.006568,               0.006568,               0.006568
                    106,                 1.2032,                0.62542,                 1.0078,                0.78381,                0.66356,                0.71764,                0.38795,                 1.4284,                0.77727,                 1.1435,               0.006535,               0.006535,               0.006535
                    107,                 1.2158,                0.63439,                 1.0115,                 0.7877,                0.65938,                0.71809,                0.38742,                 1.4238,                0.76788,                 1.1361,               0.006502,               0.006502,               0.006502
                    108,                 1.2064,                0.62908,                 1.0084,                0.77815,                0.65825,                0.71689,                0.38718,                 1.4164,                0.76355,                 1.1324,               0.006469,               0.006469,               0.006469
                    109,                 1.1986,                0.62313,                 1.0045,                0.77081,                0.66574,                0.71545,                 0.3873,                 1.4261,                0.76479,                 1.1298,               0.006436,               0.006436,               0.006436
                    110,                 1.1999,                0.62468,                 1.0072,                0.77538,                0.66081,                0.71519,                0.38659,                 1.4256,                0.76491,                 1.1302,               0.006403,               0.006403,               0.006403
                    111,                 1.1949,                0.61903,                 1.0076,                0.76328,                0.67308,                0.71675,                0.38548,                  1.427,                0.76654,                 1.1327,                0.00637,                0.00637,                0.00637
                    112,                 1.1969,                0.62404,                  1.006,                0.76134,                0.68012,                0.71869,                0.38823,                 1.4258,                0.76794,                 1.1324,               0.006337,               0.006337,               0.006337
                    113,                 1.2021,                0.61782,                 1.0055,                0.75975,                0.68004,                0.71802,                0.38685,                 1.4307,                0.77089,                 1.1339,               0.006304,               0.006304,               0.006304
                    114,                 1.2047,                0.62205,                 1.0051,                0.77763,                0.66379,                0.71856,                0.38733,                 1.4333,                 0.7712,                 1.1362,               0.006271,               0.006271,               0.006271
